"filename", "language", "YAML", "Dart", "Markdown", "ApexLog", "C++", "XML", "JSON", "Swift", "HTML", "Gradle", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\pictograms_cubit.dart", "Dart", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 107
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\pictograms_state.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 28
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\profile_info_screen\profile_info_cubit.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\profile_info_screen\profile_info_state.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 28
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\set_active_patient_cubit.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\set_active_patient_state.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\set_active_table_cubit.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 72
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\set_active_table_state.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\sign_up_cubit.dart", "Dart", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 73
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\sign_up_state.dart", "Dart", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 54
"c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_communication_setup_cubit.dart", "Dart", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 20, 135
